
fps: 74  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 100  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 100  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 101  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 100  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 98  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
fps: 99  	camera: 0  	filesize: 0kb  
